cluster_index,lat,lon,wealth,wealthpooled,wealthpooled5country,households,urban_rural
1,-11.58221,39.88591,-0.754583358764648,-1.10821390151978,-1.35457861423492,24,0.0
2,-14.83855,36.39463,-0.426818192005157,-0.50400722026825,-0.73984831571579,22,1.0
3,-16.03041,37.17157,-0.391666680574417,-0.52924782037735,-0.797909438610077,24,0.0
4,-17.59914,35.25354,-0.755909085273743,-0.894542872905731,-1.17601823806763,22,0.0
5,-24.95846,33.1476,-0.022173909470439,-0.456544667482376,-0.702852964401245,23,0.0
6,-19.11978,33.48443,0.620909094810486,0.257607072591782,0.0578889921307564,22,1.0
7,-23.82339,35.35186,0.458571434020996,0.216547235846519,0.0023050110321492,21,1.0
8,-13.2699,35.29313,-0.289047628641129,-0.315637201070786,-0.567482352256775,21,1.0
9,-13.27044,35.23671,-0.693157911300659,-0.685867309570312,-0.937903940677643,19,1.0
10,-25.9005,32.45486,1.57227277755737,1.23837292194366,1.04804885387421,22,1.0
11,-15.42268,37.01176,-0.694090902805328,-0.974111914634705,-1.19853520393372,22,1.0
12,-25.96645,32.59904,2.39590907096863,1.81061708927155,1.62003552913666,22,1.0
13,-14.79228,36.50805,-0.156666666269302,-0.253353208303452,-0.486923277378082,21,1.0
14,-15.64205,37.67907,0.416363626718521,0.273614168167114,0.0453268140554428,22,1.0
15,-17.29426,37.89888,-0.75041663646698,-1.02287065982819,-1.2951717376709,24,0.0
16,-24.17622,35.15367,-0.250869572162628,-0.387397468090057,-0.613471269607544,23,0.0
17,-25.94028,32.5792,1.66136360168457,1.20585179328918,1.03308355808258,22,1.0
18,-15.09319,39.2327,-0.0542857088148594,-0.209053337574005,-0.4749835729599,21,1.0
19,-24.84535,34.20715,-0.310869574546814,-0.629177272319794,-0.895992398262024,23,0.0
20,-23.86344,35.34186,1.26571428775787,1.32008075714111,1.11981976032257,21,1.0
21,-24.67485,33.53364,0.390476197004318,0.0286774002015591,-0.176606103777885,21,1.0
22,-17.14103,35.16679,-0.736249983310699,-0.927021741867065,-1.21871864795685,24,0.0
23,-14.65515,40.16182,-0.631666660308838,-0.645987391471863,-0.922734797000885,24,0.0
24,-19.78492,34.85391,0.809090912342072,0.0516113229095936,-0.173270761966705,22,1.0
25,-23.87092,35.39417,0.799000024795532,0.483099818229675,0.264756113290787,20,1.0
26,-19.52476,34.62627,0.651666641235352,0.0231372136622667,-0.210660636425018,24,0.0
27,-12.41925,40.61385,-0.488095253705978,-0.516087412834167,-0.771128296852112,21,0.0
28,-14.292811,35.604671,-0.647916674613953,-0.650598764419556,-0.899479031562805,24,0.0
29,-25.89276,32.58373,1.4490909576416,0.916834235191345,0.711446225643158,22,1.0
30,-25.91096,32.56621,1.1066666841507,0.448332905769348,0.237242087721825,21,1.0
31,-16.94037,36.92616,-0.863181829452515,-0.950269103050232,-1.23594617843628,22,1.0
32,-15.47236,36.98471,-0.0009090880048461,-0.248690843582153,-0.489368379116058,22,1.0
33,-25.84083,32.52975,1.40055549144745,0.75739049911499,0.567680299282074,18,1.0
34,-16.5303,39.52561,-0.792083323001862,-0.978195309638977,-1.22088491916656,24,0.0
35,-13.12334,38.99188,-0.196666657924652,-0.24482287466526,-0.488754332065582,21,1.0
36,-21.87015,35.05598,-0.437272727489471,-0.554210782051086,-0.783534169197083,22,0.0
37,-16.22093,39.89435,0.189999997615814,0.107745587825775,-0.167000293731689,22,1.0
38,-21.65977,35.06481,-0.223478257656097,-0.344619333744049,-0.557004153728485,23,0.0
39,-23.33041,35.36182,0.471363633871078,0.209633335471153,0.0090390807017684,22,1.0
40,-21.81909,34.30734,-0.519166648387909,-0.592509388923645,-0.852389872074127,24,0.0
41,-19.75453,33.76684,-0.723181843757629,-0.99549013376236,-1.22368395328522,22,0.0
42,-25.83233,32.34203,0.031363632529974,-0.426052957773209,-0.648985326290131,22,0.0
43,-12.72587,35.44936,-0.665000021457672,-0.635562419891357,-0.879077970981598,24,0.0
44,-25.94111,32.58571,1.40333330631256,0.840523898601532,0.645261764526367,21,1.0
45,-16.68732,39.37371,-0.578260898590088,-0.574409663677216,-0.8406942486763,23,0.0
46,-25.9197,32.51279,2.07190465927124,1.56989431381226,1.37459051609039,21,1.0
47,-14.66738,39.53535,-0.844500005245209,-0.986531496047974,-1.26496994495392,20,0.0
48,-23.09331,34.39744,-0.227391302585602,-0.352796733379364,-0.587306380271912,23,0.0
49,-25.32682,32.78757,0.0350000001490116,-0.392198830842972,-0.61469304561615,24,1.0
50,-14.16205,39.20871,-0.433809518814087,-0.272491633892059,-0.530614852905273,21,0.0
51,-23.68145,35.24616,-0.137500002980232,-0.18270568549633,-0.399701774120331,24,0.0
52,-25.90025,32.60385,1.4904545545578,1.01718854904175,0.804518222808838,22,1.0
53,-12.97835,39.82917,-0.692608714103699,-0.807330369949341,-1.05992269515991,23,0.0
54,-25.91824,32.60974,1.44619047641754,0.819910526275635,0.634036064147949,21,1.0
55,-16.08372,39.67892,0.0483333356678486,-0.140077471733093,-0.393229961395264,24,0.0
56,-19.11148,33.45692,0.989545464515686,0.819108545780182,0.632777690887451,22,1.0
57,-12.91034,39.38509,-0.777916669845581,-0.734755635261536,-1.00077784061432,24,0.0
58,-18.8106,33.31322,-0.493181824684143,-0.577376008033752,-0.817904114723206,22,0.0
59,-14.35849,37.87879,-0.777894735336304,-0.857739090919495,-1.13184309005737,19,0.0
60,-25.91455,32.57646,1.64454543590546,1.24288213253021,1.05862176418304,22,1.0
61,-18.00162,34.68124,-0.709166646003723,-0.864536702632904,-1.13971626758575,24,0.0
62,-19.01592,33.37193,-0.622727274894714,-0.761853575706482,-1.02866733074188,22,0.0
63,-14.04102,38.76493,-0.759130418300629,-0.883625090122223,-1.15490484237671,23,0.0
64,-14.73414,34.35503,0.891363620758057,0.7255699634552,0.519838571548462,22,1.0
65,-25.91787,32.60235,1.74181818962097,1.34964883327484,1.15170383453369,22,1.0
66,-25.922742,32.538054,1.57285714149475,0.923462331295013,0.735658407211304,21,1.0
67,-18.54589,33.20356,-0.474166661500931,-0.591410100460052,-0.822766065597534,24,0.0
68,-13.42345,39.79389,-0.745454549789429,-0.748282372951508,-1.00484704971313,22,1.0
69,-18.86697,32.78871,0.0508333295583725,-0.299954026937485,-0.516921401023865,24,0.0
70,-17.58983,37.27161,-0.743478238582611,-0.84654289484024,-1.12955832481384,23,0.0
